sweep,var_label,value,PASS,max_lateral_m,max_tilt_deg,spin_drift_frac,z_m
beam_waist,w=3.0m,3.0,False,0.07071067811865475,306.58554058162866,0.0,220189.746975325
beam_waist,w=4.0m,4.0,False,0.07071067811865475,186.1211263534647,0.0,242805.17252270342
beam_waist,w=5.0m,5.0,True,0.07071067811868602,3.5867979056408683,0.0,242201.96953673914
initial_pert,"x0=20mm,th=-1.0",20,True,0.0282842712474619,1.6153683151231777,0.0,236468.46596491392
initial_pert,"x0=50mm,th=-2.0",50,False,0.07071067811865475,186.1211263534647,0.0,242805.17252270342
initial_pert,"x0=100mm,th=-2.0",100,False,0.1414213562373095,399.9672921603336,0.0,242650.55282468384
initial_pert,"x0=50mm,th=-4.0",50,False,0.07071067811865475,195.99704139134045,0.0,243180.7522083421
intensity,I=0.1xStarshot,0.1,False,0.07071067811865475,18.67407632277424,0.0,23910.29703573532
intensity,I=1.0xStarshot,1.0,False,0.07071067811865475,186.1211263534647,0.0,242805.17252270342
intensity,I=5.0xStarshot,5.0,False,0.07071067811865475,956.8503228900333,0.0,1215598.662810926
ring_period,P=1282nm (-10%),1281.6000000000001,False,0.07071067811865475,182.34499446207857,0.0,241429.4086958911
ring_period,P=1424nm (+0%),1424.0,False,0.07071067811865475,186.1211263534647,0.0,242805.17252270342
ring_period,P=1566nm (+10%),1566.4,False,26.573317720864686,373.2474670039009,0.0,52462.448067039855
Rc_tolerance,R_c=24.0m (-20%),24.0,True,0.07071067811868903,4.233924324241041,0.0,233358.36810294687
Rc_tolerance,R_c=30.0m (+0%),30.0,False,0.07071067811865475,186.1211263534647,0.0,242805.17252270342
Rc_tolerance,R_c=36.0m (+20%),36.0,False,0.07071067811865475,184.69055385880247,0.0,242862.94359689258
