config,sic_frac,sic_t,hbn_frac,hbn_t,mean_R_NIR,mean_alpha_NIR,mean_eps_MIR,peak_eps_MIR,extra_g_per_m2,eps_band_8_10,eps_band_10_12,eps_band_12_14
SiC_0.5_400nm + hBN_0.0_1nm,0.5,400,0.0,1.0,0.674514095857187,5.0966220999226765e-05,0.15196144443024184,0.439627981193539,0.3210009114583333,0.02441109461761608,0.26647456785667845,0.19688625826958747
SiC_0.0_1nm + hBN_0.5_400nm,0.0,1.0,0.5,400,0.5708922528385129,0.0003933455914514099,0.11291676703817309,0.30535237605703625,0.21000139322916667,0.023016875198236763,0.13041604524957795,0.2077923536266887
SiC_0.5_400nm + hBN_0.5_200nm,0.5,400,0.5,200,0.6054942604641429,0.00012532546262807032,0.15919191857272438,0.4760830188112274,0.426,0.022728375300538218,0.2752607448911505,0.21370252134453102
SiC_0.5_400nm + hBN_0.5_400nm,0.5,400,0.5,400,0.6329321669976069,0.00018708805745694667,0.15999454231061913,0.4762133512086191,0.531,0.02120537595806804,0.270741489298791,0.22273405326313606
SiC_0.5_200nm + hBN_0.7_400nm,0.5,200,0.7,400,0.5073550318299356,0.0004451264825497625,0.13984817000869768,0.4193400625290944,0.5819583333333335,0.019616025511178227,0.18254807915805688,0.24743844148123775
SiC_0.7_200nm + hBN_0.5_400nm,0.7,200,0.5,400,0.7011928252310986,0.00030282916143563044,0.14393225300978477,0.36004467428105064,0.5321145833333334,0.022295050035832785,0.23215799265981177,0.20775301707719773
SiC_0.5_400nm + hBN_0.7_200nm,0.5,400,0.7,200,0.5042573567632912,0.00021480296549749588,0.16429676505361301,0.4099689300400543,0.5317291666666667,0.021664609570209326,0.25772283637126187,0.2491608880902188
SiC_0.6_300nm + hBN_0.6_300nm,0.6,300,0.6,300,0.5327096076142686,0.00020756392933553026,0.15685078234560204,0.4213022455641282,0.5814726562500001,0.021502402871566018,0.25002148767669496,0.23286555135705422
