curvature_label,curvature_m,ring_label,PASS,max_lateral_m,max_tilt_deg,max_spin_drift_frac,z_distance_m
flat,inf,none,False,0.07071067811865475,268.5196132607169,0.0,540051.7835463209
flat,inf,reference,False,12.78576127804281,1266.8613692496062,0.0,320001.51588213304
flat,inf,bo_best,False,0.07071067811873695,260.87711989749846,0.0,531294.5785575282
Rc100m,100.0,none,True,0.07071067811865475,3.7942125254363814,0.0,392032.3229273875
Rc100m,100.0,reference,True,0.09643188756217394,4.23744395215053,0.0,382254.3433453088
Rc100m,100.0,bo_best,True,0.07071067811865475,3.832080028985739,0.0,391863.14842575707
Rc30m,30.0,none,True,0.07071067811865475,3.1212706797833762,0.0,413812.779506132
Rc30m,30.0,reference,False,2.791260532473511,2494.948475328127,0.0,410598.17058170115
Rc30m,30.0,bo_best,True,0.07071067811920516,3.108080559289929,0.0,410978.40473010036
Rc10m,10.0,none,True,0.07071067811865475,3.565358704756737,0.0,508286.72435237054
Rc10m,10.0,reference,True,0.07071067811865475,3.4747135598663013,0.0,487993.7905519603
Rc10m,10.0,bo_best,True,0.07071067811872195,3.5283787817031036,0.0,497975.7770043474
Rc3m,3.0,none,False,0.07071067811865475,19.52563007319008,0.0,543431.2147195744
Rc3m,3.0,reference,False,0.07071067811865475,18.487739247337437,0.0,523975.6280756521
Rc3m,3.0,bo_best,False,0.0707106781187142,19.11497902552203,0.0,533293.8129686569
