period_nm,duty,ring_w_um,mod_amp,n_petals,R_c_m,PASS,max_lateral_m,max_tilt_deg,spin_drift_frac,obj
1287.4917924404144,0.5256489288061859,44.23968917131424,0.06909598363563418,4,31.731410600005482,True,0.07071067811871025,3.9511373241610253,0.0,0.4343974424820527
1314.4524797797203,0.24623863808810714,25.588081896305084,0.1625435734167695,2,24.408334655371544,True,0.07071067811866874,3.9804276374978493,0.0,0.437326473815712
1200.0,0.5082284548063909,19.532761145842407,0.4748162532914612,0,23.104647884486194,True,0.07071067811867655,4.009708991810136,0.0,0.440254609246945
1200.0,0.2490171459356005,30.362343833365856,0.1448726256020073,2,27.547449519771018,True,0.07071067811873046,4.074166562419022,0.0,0.44670036630786364
1200.0,0.5070088515285485,12.982978989482003,0.42760294303830765,0,19.151090436493092,True,0.07071067811871187,4.1641618868095565,0.0,0.4556998987469067
1322.167163977837,0.5172392800545527,46.00925750691975,0.09734124821068789,4,28.83612471421452,True,0.07071067811923296,4.2586053284402405,0.0,0.46514424291026457
1555.1875603424528,0.500570285612947,15.381567271973722,0.4448790311995083,0,16.764205522585943,True,0.07071067811865475,4.261693132452895,0.0,0.4654530233112088
1229.031065106392,0.4889416109770537,13.406741812825203,0.42575927544385195,0,18.202261897501327,True,0.07071067811865475,4.275248063275727,0.0,0.466808516393492
2266.8601602315903,0.5901671566069127,12.49565178155899,0.31760628474876285,2,15.957433212751488,True,0.07071067811865475,4.954609478784348,0.0,0.5347446579443541
2331.317837536335,0.34812640324234967,34.14510756731033,0.41166064981371164,4,16.82750903357321,True,0.08296012751522581,5.025292583291049,0.0,0.548618218059786
1369.2699447274208,0.7297225128859282,32.06800217926502,0.33134065894410014,3,14.150723643733217,True,0.07071067811865475,5.773822016250436,0.0,0.616665911690963
1307.4971903980147,0.5714271356579808,46.02447792049003,0.05076732667475334,4,55.025233582960965,False,0.07071067811866495,87.39775580259935,0.0,8.77905929032586
1203.8064369454478,0.2915663558752979,26.428669785191296,0.216800863769854,0,39.25963309622817,False,0.07071067811865475,163.4544985199991,0.0,16.38473356206583
1454.2670890349668,0.2626626080561361,29.13120637582646,0.1501099679085774,2,37.08327314427759,False,0.07071067811865475,179.846514720254,0.0,18.023935182091318
1247.626780428109,0.4178794230684755,43.41488627528332,0.10457053961780935,4,33.39429865502715,False,0.07071067811870262,182.20076686807735,0.0,18.25936039687368
1426.354493200779,0.6029721258208156,20.852005884051323,0.44692586408928037,2,10.414108189747108,False,0.0707106781186871,185.62711483293464,0.0,18.6019951933594
1492.4784312067818,0.504030007823996,45.809747165942795,0.10617514367525421,6,35.26597976833241,False,0.07071067811868936,185.86124554637576,0.0,18.625408264703513
1483.9309558272362,0.4117328761145473,36.706559866666794,0.05919567681849003,6,61.1625192590064,False,0.07071067811865611,198.42813566318335,0.0,19.882097276384254
1517.9106771945953,0.6572974083945156,9.043600052595139,0.2150154230184853,3,145.520671438236,False,0.07071067811866362,199.69312559090727,0.0,20.00859626915665
1647.6350352168083,0.7657653653994203,16.200990587472916,0.39475004747509956,4,22.360079542056752,False,28.91922124627371,334.92406696049625,0.0,49.55864072175724
2377.1593496203423,0.68408477678895,24.290187552571297,0.07880203751847148,0,37.55903880743472,False,30.33968674188726,386.51237725175724,0.0,55.50661924844643
1709.1251820325851,0.5599758112803102,3.996985301375389,0.12665826827287674,6,17.04140939589987,False,66.3121526404902,204.72410589352845,0.0,57.31249538962517
1751.1582612991333,0.4441834533587099,42.353368908166885,0.36380602652207017,2,34.50373409885515,False,65.29461440972517,211.35668816604795,0.0,57.41045459978544
1572.04991877079,0.31869580727070573,48.50118128955364,0.29012354277074337,4,12.450196937236349,False,56.27045033879565,273.30850569589415,0.0,58.59221186892033
2541.6652902960777,0.43841008283197885,26.80170775949955,0.49227110808715224,2,81.12255339221139,False,44.09618258403797,341.488462507333,0.0,58.64672546408772
2599.6132865548134,0.5468847308307887,18.845592617988586,0.012873879633843899,4,13.092619102353419,False,65.5882932953631,234.3580007529894,0.0,59.87374079494511
